,Stocks,Sector,Link
68,NTPC,Utilities,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
69,Nestle India,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
70,Oil & Natural Gas Corporation,Energy,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
71,P I Industries,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
72,Page Industries,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
73,Pidilite Industries,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
74,Power Grid Corporation Of India,Utilities,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
75,Reliance Industries,Energy,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
76,SBI Cards & Payment Services,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
77,SBI Life Insurance Company,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
78,SRF,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
79,Shree Cement,Capital Goods,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
80,Shriram Finance,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
81,Siemens,Technology,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
82,State Bank Of India,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
83,Sun Pharmaceutical Industries,Healthcare,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
84,Tata Consultancy Services,Technology,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
85,Tata Consumer,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
86,Tata Elxsi,Technology,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
87,Tata Motors,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
88,Tata Motors DVR,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
89,Tata Power,Utilities,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
90,Tata Steel,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
91,Tech Mahindra,Technology,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
92,Titan Company,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
93,Trent,Services,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
94,UPL,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
95,Ultratech Cement,Capital Goods,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
96,Vedanta,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
97,Voltas,Capital Goods,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
98,Wipro,Technology,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
99,Zee Entertainment Enterprises,Services,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
100,3M India,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
101,ABB India,Technology,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
103,ADANI WILMAR,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
104,Abbott India,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
105,Adani Energy Solutions,Utilities,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
107,Adani Green Energy,Utilities,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
110,Adani Total Gas,Utilities,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
111,Aditya Birla Capital,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
112,Aditya Birla Fashion & Retail,Services,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
113,Alkem Laboratories,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
118,Astral,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
119,Atul,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
128,Balkrishna Industries,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
131,Bank Of India,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
132,Bata India,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
133,Bayer Cropscience,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
134,Berger Paints India,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
139,Biocon,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
140,Bosch,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
142,CANARA BANK,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
