URL, Sector,Industry,Ticker,NSE_Ticker,BSE_Ticker,Company Name
https://www.screener.in/company/ATULAUTO/, Banks ,Banks - Private Sector ,ATULAUTO,ATULAUTO.NS,ATULAUTO.BO,Atul Auto Limited
https://www.screener.in/company/AUBANK/, Pharmaceuticals ,Pharmaceuticals - Indian - Bulk Drugs & Formln ,AUBANK,AUBANK.NS,AUBANK.BO,AU Small Finance Bank Limited
https://www.screener.in/company/AUROPHARMA/, Banks ,Banks - Private Sector ,AUROPHARMA,AUROPHARMA.NS,AUROPHARMA.BO,Aurobindo Pharma Limited
https://www.screener.in/company/AXISBANK/, Automobile ,Automobiles - Scooters And 3 - Wheelers ,AXISBANK,AXISBANK.NS,AXISBANK.BO,Axis Bank Limited
https://www.screener.in/company/BAJAJ-AUTO/, Finance ,Finance & Investments ,BAJAJ-AUTO,BAJAJ-AUTO.NS,BAJAJ-AUTO.BO,Bajaj Auto Limited
https://www.screener.in/company/BAJAJFINSV/, Finance ,Finance & Investments ,BAJAJFINSV,BAJAJFINSV.NS,BAJAJFINSV.BO,Bajaj Finserv Limited
https://www.screener.in/company/BAJAJHLDNG/, Finance ,Finance & Investments ,BAJAJHLDNG,BAJAJHLDNG.NS,BAJAJHLDNG.BO,Bajaj Holdings & Investment Limited
https://www.screener.in/company/BAJFINANCE/, Tyres ,Tyres ,BAJFINANCE,BAJFINANCE.NS,BAJFINANCE.BO,Bajaj Finance Limited
https://www.screener.in/company/BALKRISIND/, Banks ,Banks - Private Sector ,BALKRISIND,BALKRISIND.NS,BALKRISIND.BO,Balkrishna Industries Limited
https://www.screener.in/company/BANDHANBNK/, Banks ,Banks - Public Sector ,BANDHANBNK,BANDHANBNK.NS,BANDHANBNK.BO,Bandhan Bank Limited
https://www.screener.in/company/BANKBARODA/, Banks ,Banks - Public Sector ,BANKBARODA,BANKBARODA.NS,BANKBARODA.BO,Bank of Baroda Limited
https://www.screener.in/company/BANKINDIA/, Chemicals ,Chemicals ,BANKINDIA,BANKINDIA.NS,BANKINDIA.BO,Bank of India Limited
https://www.screener.in/company/BASF/, Leather ,Leather / Leather Products ,BASF,BASF.NS,BASF.BO,BASF India Limited
https://www.screener.in/company/BATAINDIA/, Agro Chemicals ,Pesticides / Agrochemicals - Multinational ,BATAINDIA,BATAINDIA.NS,BATAINDIA.BO,Bata India Limited
https://www.screener.in/company/BAYERCROP/, Aerospace & Defence ,Engineering ,BAYERCROP,BAYERCROP.NS,BAYERCROP.BO,Bayer CropScience Limited
https://www.screener.in/company/BDL/, Aerospace & Defence ,Electronics - Components ,BDL,BDL.NS,BDL.BO,Bharat Dynamics Limited
https://www.screener.in/company/BEL/, Aerospace & Defence ,Engineering ,BEL,BEL.NS,BEL.BO,Bharat Electronics Limited
https://www.screener.in/company/BEML/, Power Generation & Distribution ,Power Generation And Supply ,BEML,BEML.NS,BEML.BO,BEML Limited
https://www.screener.in/company/BFUTILITIE/,"Castings, Forgings & Fastners ",Castings & Forgings,BFUTILITIE,BFUTILITIE.NS,BFUTILITIE.BO,BF Utilities Limited
https://www.screener.in/company/BHARATFORG/, Telecomm-Service ,Telecommunications - Service Provider ,BHARATFORG,BHARATFORG.NS,BHARATFORG.BO,Bharat Forge Limited
https://www.screener.in/company/BHARTIARTL/, Telecomm-Service ,Telecommunications - Service Provider ,BHARTIARTL,BHARTIARTL.NS,BHARTIARTL.BO,Bharti Airtel Limited
https://www.screener.in/company/BHARTIHEXA/, Capital Goods - Electrical Equipment ,Electric Equipment ,BHARTIHEXA,BHARTIHEXA.NS,BHARTIHEXA.BO,BHARTI HEXACOM LIMITED
https://www.screener.in/company/BHEL/, FMCG ,Food - Processing - Indian ,BHEL,BHEL.NS,BHEL.BO,Bharat Heavy Electricals Limited
https://www.screener.in/company/BIKAJI/, Pharmaceuticals ,Pharmaceuticals - Indian - Bulk Drugs & Formln ,BIKAJI,BIKAJI.NS,BIKAJI.BO,Bikaji Foods International Limited 
https://www.screener.in/company/BIOCON/, IT - Software ,Computers - Software - Medium / Small ,BIOCON,BIOCON.NS,BIOCON.BO,Biocon Limited
https://www.screener.in/company/BLS/, Consumer Durables ,Air-conditioners ,BLS,BLS.NS,BLS.BO,BLS International Services Limited
https://www.screener.in/company/BLUESTARCO/, Auto Ancillaries ,Auto Ancillaries ,BLUESTARCO,BLUESTARCO.NS,BLUESTARCO.BO,Blue Star Limited
https://www.screener.in/company/BOSCHLTD/, Refineries ,Refineries ,BOSCHLTD,BOSCHLTD.NS,BOSCHLTD.BO,Bosch Limited
